model,calibrator,fold,bin,predicted,observed,n
lightgbm,none,2017,0,0.016475260417135196,0.0197,10000
lightgbm,none,2017,1,0.027986574277825405,0.0405,10000
lightgbm,none,2017,2,0.037009266255383706,0.054,10000
lightgbm,none,2017,3,0.045822895078164984,0.0699,10000
lightgbm,none,2017,4,0.055190626695945266,0.0884,10000
lightgbm,none,2017,5,0.06587426834774836,0.0909,10000
lightgbm,none,2017,6,0.07875472846941395,0.1065,10000
lightgbm,none,2017,7,0.09545817382169061,0.1315,10000
lightgbm,none,2017,8,0.12095557870957689,0.1578,10000
lightgbm,none,2017,9,0.19239381733817346,0.1993,10000
lightgbm,platt,2017,0,0.02059194321704921,0.0197,10000
lightgbm,platt,2017,1,0.033310101665662555,0.0405,10000
lightgbm,platt,2017,2,0.04285304254300925,0.054,10000
lightgbm,platt,2017,3,0.0519434947609372,0.0699,10000
lightgbm,platt,2017,4,0.061411698471826114,0.0884,10000
lightgbm,platt,2017,5,0.07201371128355147,0.0909,10000
lightgbm,platt,2017,6,0.08457131953376605,0.1065,10000
lightgbm,platt,2017,7,0.10056227412155722,0.1315,10000
lightgbm,platt,2017,8,0.12447191015050621,0.1578,10000
lightgbm,platt,2017,9,0.18919791724102691,0.1993,10000
lightgbm,isotonic,2017,0,0.013799587425008426,0.018994057724957554,9424
lightgbm,isotonic,2017,1,0.026955174400353162,0.036240895363297214,5629
lightgbm,isotonic,2017,2,0.03261937461344308,0.050609007648003024,10591
lightgbm,isotonic,2017,3,0.04837983978651821,0.05978309581428699,11157
lightgbm,isotonic,2017,4,0.06045814815294597,0.08373129576567973,9423
lightgbm,isotonic,2017,5,0.07029251565255841,0.09040570759237568,9391
lightgbm,isotonic,2017,6,0.08410530356219406,0.09702991227143008,9461
lightgbm,isotonic,2017,7,0.0950075416018707,0.12229251953851879,13435
lightgbm,isotonic,2017,8,0.12270839406726525,0.15696632393170457,10601
lightgbm,isotonic,2017,9,0.18393871590247085,0.1961792799412197,10888
