fold,model,proxy,scenario,group,n,base_default_rate,approval_rate,tpr,fpr,fnr,mean_predicted,calibration_gap
2014,logistic_woe,emp_length,baseline,10+ years,33870.0,0.0768231473280189,0.9950693829347506,0.9953946526800563,0.9911606456571868,0.0046053473199436645,0.08498518480827452,0.008162037480255624
2014,logistic_woe,emp_length,baseline,2 years,8649.0,0.08555902416464331,0.9971094924268702,0.9972183588317107,0.995945945945946,0.0027816411682892728,0.07674701452989022,-0.008812009634753093
2014,logistic_woe,emp_length,baseline,3 years,7743.0,0.08652976882345344,0.9978044685522407,0.9978792591545314,0.9970149253731343,0.0021207408454686494,0.07453580784510365,-0.011993960978349788
2014,logistic_woe,emp_length,baseline,4 years,5641.0,0.08633221060095728,0.9943272469420316,0.9949553744664338,0.9876796714579056,0.005044625533566216,0.080630336728799,-0.005701873872158272
2014,logistic_woe,emp_length,baseline,5 years,5548.0,0.08507570295602018,0.9969358327325162,0.9974389282899921,0.9915254237288136,0.002561071710007856,0.07253140696252822,-0.012544295993491966
2014,logistic_woe,emp_length,baseline,6 years,5081.0,0.09604408580987994,0.9982286951387522,0.9982582190289571,0.9979508196721312,0.0017417809710429388,0.07399959833305303,-0.022044487476826913
2014,logistic_woe,emp_length,baseline,7 years,5597.0,0.0836162229765946,0.9837412899767732,0.9847923571846364,0.9722222222222222,0.015207642815363576,0.10409535704044429,0.020479134063849685
2014,logistic_woe,emp_length,baseline,8 years,4932.0,0.08819951338199514,0.9975669099756691,0.9977762953079831,0.9954022988505747,0.0022237046920169368,0.07395566805049204,-0.014243845331503094
2014,logistic_woe,emp_length,baseline,9 years,4037.0,0.09363388654941789,0.9955412434976467,0.9956272205520634,0.9947089947089947,0.00437277944793657,0.08308780140594048,-0.010546085143477407
2014,logistic_woe,emp_length,baseline,< 1 year,7694.0,0.09721861190538082,0.9912919157785287,0.9919378059314714,0.9852941176470589,0.008062194068528594,0.08882341188691453,-0.00839520001846629
2014,logistic_woe,emp_length,baseline,missing,5113.0,0.11656561705456679,0.9327205163309212,0.9338056232012397,0.924496644295302,0.06619437679876028,0.1371503886042338,0.020584771549667022
2014,logistic_woe,emp_length,demographic_parity,1 year,6095.0,0.09253486464315012,0.9921246923707957,0.9925872355812692,0.9875886524822695,0.007412764418730844,0.08672342824677834,-0.005811436396371786
2014,logistic_woe,emp_length,demographic_parity,10+ years,33870.0,0.0768231473280189,0.9931798051372897,0.993603684277856,0.9880860876249039,0.0063963157221440525,0.08498518480827452,0.008162037480255624
2014,logistic_woe,emp_length,demographic_parity,2 years,8649.0,0.08555902416464331,0.9929471615215631,0.9938045264888102,0.9837837837837838,0.006195473511189764,0.07674701452989022,-0.008812009634753093
2014,logistic_woe,emp_length,demographic_parity,3 years,7743.0,0.08652976882345344,0.9944465969262559,0.9944860738017814,0.9940298507462687,0.005513926198218555,0.07453580784510365,-0.011993960978349788
2014,logistic_woe,emp_length,demographic_parity,4 years,5641.0,0.08633221060095728,0.9923772380783549,0.9928211098176174,0.9876796714579056,0.007178890182382602,0.080630336728799,-0.005701873872158272
2014,logistic_woe,emp_length,demographic_parity,5 years,5548.0,0.08507570295602018,0.9906272530641672,0.9911347517730497,0.9851694915254238,0.00886524822695034,0.07253140696252822,-0.012544295993491966
