fold,model,proxy,scenario,dp_gap,disparate_impact_ratio,eo_tpr_gap,eo_fpr_gap,profit_per_applicant,approve_rate,cost_vs_baseline
2015,lightgbm,emp_length,equal_opportunity,0.0072924143768948735,0.992668815825152,0.007541528055918789,0.014992459162648353,1219.9040643135772,0.99161,0.35040260016444336
2016,logistic_woe,income_quintile,baseline,0.012132190024692124,0.9878633298460521,0.01026415166552097,0.025335628227194595,1066.1272859565572,0.99388,0.0
2016,logistic_woe,income_quintile,demographic_parity,0.0027628872236289403,0.9972232180469394,0.0022693345233615325,0.007773234517420624,1066.8284664844984,0.99387,-0.7011805279412329
2016,logistic_woe,income_quintile,equal_opportunity,0.0030987224528348234,0.996886078966179,0.002678743247562343,0.006537861046057802,1066.3554411975274,0.99395,-0.2281552409701817
2016,logistic_woe,emp_length,baseline,0.02381665672330091,0.9761040394714126,0.020169952635657795,0.047460331530892685,1066.1272859565572,0.99388,0.0
2016,logistic_woe,emp_length,demographic_parity,0.0019052918609403502,0.9980850986890504,0.0017921233954819593,0.011154022988505763,1068.299600606327,0.9943,-2.17231464976976
2016,logistic_woe,emp_length,equal_opportunity,0.003779684870164446,0.9961986376529477,0.003439935885563017,0.015020115150201185,1068.8253181885927,0.99283,-2.69803223203553
2016,lightgbm,income_quintile,baseline,0.019400058175831014,0.9803867632117708,0.01685624435891253,0.03710433864258467,1078.807294803775,0.97849,0.0
2016,lightgbm,income_quintile,demographic_parity,0.007830592491890997,0.9920137901361511,0.007980380318031055,0.02389711069100764,1077.6798917920764,0.97597,1.1274030116985614
2016,lightgbm,income_quintile,equal_opportunity,0.007454848389961133,0.9924001292875542,0.007759507064196591,0.02128805620608898,1077.7686771538013,0.97649,1.0386176499737303
2016,lightgbm,emp_length,baseline,0.019503081986617654,0.9801837472520128,0.01921261691548093,0.030903728670739428,1078.807294803775,0.97849,0.0
2016,lightgbm,emp_length,demographic_parity,0.011462643820371543,0.98834754422862,0.0107852328597009,0.0378250591016549,1077.7286123989527,0.97816,1.0786824048223025
2016,lightgbm,emp_length,equal_opportunity,0.011061447898953802,0.9887263833233058,0.011865275796813624,0.036840392998893856,1078.4864138014152,0.97666,0.32088100235978345
2017,logistic_woe,income_quintile,baseline,0.04290855729707099,0.9569580056776053,0.03882851253879416,0.07131859464861323,1217.086398143716,0.98091,0.0
2017,logistic_woe,income_quintile,demographic_parity,0.004930580995076594,0.9949741461991698,0.004332934569911018,0.033321739641608006,1220.6356029028568,0.97886,-3.549204759140821
2017,logistic_woe,income_quintile,equal_opportunity,0.0049335842158703125,0.994975781961737,0.003437854570568777,0.03269102648260447,1220.8217476784832,0.97909,-3.735349534767238
