zip3,total,white_nonhispanic,black_nonhispanic,aian_nonhispanic,asian_nonhispanic,nhpi_nonhispanic,other_race_nonhispanic,two_or_more_nonhispanic,hispanic,other_nonhispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_hispanic,pct_other_nonhispanic,race_proxy_group
078,357089.0,275329.0,11551.0,210.0,17569.0,69.0,351.0,4519.0,47491.0,5149.0,0.7710374724508456,0.0323476780298469,0.04920061945341357,0.13299485562422814,0.014419374441665803,white_nonhispanic
079,257797.0,194128.0,7257.0,70.0,26996.0,3.0,235.0,4025.0,25083.0,4333.0,0.753026606205658,0.028150056051854753,0.10471805335205607,0.09729748600643141,0.016807798383999813,white_nonhispanic
080,1158765.0,835997.0,151760.0,837.0,51344.0,331.0,3145.0,27863.0,87488.0,32176.0,0.7214551699438626,0.130967020923138,0.04430924303029519,0.07550107226227924,0.027767493840424935,white_nonhispanic
081,154752.0,51806.0,41572.0,164.0,5439.0,67.0,491.0,1622.0,53591.0,2344.0,0.3347678866832093,0.2686362696443342,0.0351465570719603,0.3463024710504549,0.015146815550041357,hispanic
082,245569.0,172036.0,23384.0,267.0,12101.0,40.0,376.0,4654.0,32711.0,5337.0,0.7005607385297004,0.0952237456682236,0.04927739250475426,0.13320492407429277,0.021733199223028965,white_nonhispanic
083,237802.0,134113.0,35515.0,1074.0,5192.0,14.0,211.0,7001.0,54682.0,8300.0,0.5639691844475656,0.14934693568599086,0.021833289879815983,0.2299476034684317,0.03490298651819581,white_nonhispanic
084,55647.0,18739.0,13542.0,124.0,7565.0,5.0,42.0,1226.0,14404.0,1397.0,0.3367477132639675,0.24335543695077902,0.13594623250130286,0.25884593958344565,0.02510467770050497,white_nonhispanic
085,315774.0,210111.0,16486.0,316.0,56468.0,27.0,576.0,5469.0,26321.0,6388.0,0.6653841038210873,0.05220822486968528,0.17882409571402333,0.08335391767529943,0.02022965791990474,white_nonhispanic
086,267931.0,123858.0,70444.0,196.0,14154.0,65.0,476.0,4860.0,53878.0,5597.0,0.46227573517062226,0.2629184379560409,0.05282703382587308,0.2010890863692518,0.02088970667821193,white_nonhispanic
087,464574.0,395234.0,10878.0,134.0,8677.0,147.0,307.0,5662.0,43535.0,6250.0,0.8507449835763516,0.023414999547972982,0.01867732589426012,0.0937095059129439,0.01345318506847133,white_nonhispanic
088,912551.0,488821.0,74798.0,1237.0,184247.0,248.0,2037.0,14605.0,146558.0,18127.0,0.535664308077028,0.08196582985498893,0.20190323609310604,0.16060253070787275,0.019864095267004254,white_nonhispanic
089,112786.0,36786.0,16805.0,111.0,17894.0,37.0,264.0,1708.0,39181.0,2120.0,0.3261575018176015,0.14899898923625274,0.15865444292731368,0.3473924068590073,0.0187966591598248,hispanic
100,1545806.0,710776.0,200277.0,1891.0,185690.0,524.0,5518.0,34014.0,407116.0,41947.0,0.4598093163048921,0.12956153618241875,0.12012503509496017,0.26336810699402124,0.02713600542370776,white_nonhispanic
101,60988.0,43656.0,1766.0,0.0,5931.0,0.0,275.0,2053.0,7307.0,2328.0,0.7158129468092084,0.028956516035941498,0.09724863907653965,0.11981045451564243,0.038171443562668064,white_nonhispanic
102,15020.0,10400.0,209.0,0.0,2637.0,0.0,70.0,454.0,1250.0,524.0,0.6924101198402131,0.013914780292942743,0.1755659121171771,0.08322237017310254,0.03488681757656458,white_nonhispanic
103,474101.0,292360.0,43906.0,595.0,40946.0,132.0,1026.0,8160.0,86976.0,9913.0,0.616661850533958,0.09260895885054028,0.0863655634558881,0.1834545803531315,0.020909046806482163,white_nonhispanic
104,1441455.0,134068.0,418886.0,3451.0,50869.0,493.0,8863.0,15509.0,809316.0,28316.0,0.09300880013597372,0.2905994290491205,0.03529003680309132,0.5614576937885678,0.01964404022324665,hispanic
105,656409.0,413366.0,72944.0,1073.0,31786.0,83.0,2230.0,11620.0,123307.0,15006.0,0.6297384709837921,0.11112583770179872,0.04842407706171,0.18785086737080084,0.02286074688189833,white_nonhispanic
106,82937.0,38709.0,12075.0,74.0,6467.0,0.0,350.0,1349.0,23913.0,1773.0,0.4667277572133065,0.14559243763338436,0.07797484837889,0.288327284565393,0.021377672209026127,white_nonhispanic
107,231180.0,102720.0,31622.0,305.0,15707.0,80.0,1008.0,3473.0,76265.0,4866.0,0.4443290942123021,0.13678518903019293,0.06794272860974132,0.32989445453758975,0.021048533610173892,white_nonhispanic
108,88271.0,40945.0,16098.0,43.0,4669.0,24.0,842.0,1540.0,24110.0,2449.0,0.46385562642317407,0.18237020085871916,0.052893928923428986,0.27313613757632743,0.027744106218350308,white_nonhispanic
109,551970.0,358998.0,56409.0,940.0,25769.0,74.0,2321.0,8854.0,98605.0,12189.0,0.6503940431545193,0.10219577150932116,0.04668550827037701,0.17864195517872347,0.02208272188705908,white_nonhispanic
110,255830.0,132763.0,27569.0,516.0,50303.0,167.0,1740.0,4953.0,37819.0,7376.0,0.518950084040183,0.107762967595669,0.19662666614548724,0.14782863620372905,0.02883164601493179,white_nonhispanic
111,204828.0,97562.0,11349.0,333.0,36464.0,94.0,1132.0,4711.0,53183.0,6270.0,0.47631183236666863,0.05540746382330541,0.1780225359814088,0.25964711855800965,0.030611049270607534,white_nonhispanic
112,2600747.0,940759.0,787705.0,3667.0,304870.0,846.0,11136.0,52485.0,499279.0,68134.0,0.3617264578215413,0.3028764428066244,0.11722401294704944,0.19197522865545938,0.026197857769325504,white_nonhispanic
113,1166587.0,341077.0,43620.0,2316.0,373339.0,258.0,3558.0,19089.0,383330.0,25221.0,0.29237167909465817,0.03739112470823008,0.320026710395367,0.328591009500363,0.021619476301381724,hispanic
114,784485.0,91052.0,299058.0,2485.0,151894.0,315.0,39067.0,23898.0,176716.0,65765.0,0.11606595409727401,0.38121570202107113,0.19362256767178468,0.22526370803775725,0.08383206817211292,black_nonhispanic
